"","xdist","tdist","lambda","slope_theta","t1","t2","t3","t4"
"1",1,1,0.5,0.577350269189626,0,NA,NA,NA
"2",1,1,0.8,1.33333333333333,0,NA,NA,NA
"3",1,2,0.5,0.577350269189626,-1.29301678989753e-06,NA,NA,NA
"4",1,2,0.8,1.33333333333333,0.000219622100698186,NA,NA,NA
"5",1,3,0.5,0.577350269189626,-0.000255331403809765,NA,NA,NA
"6",1,3,0.8,1.33333333333333,-0.000360557619400397,NA,NA,NA
"7",1,4,0.5,0.577350269189626,-0.036887356482817,NA,NA,NA
"8",1,4,0.8,1.33333333333333,-0.299231578446477,NA,NA,NA
"9",1,5,0.5,0.577350269189626,-0.0234863983196819,NA,NA,NA
"10",1,5,0.8,1.33333333333333,-0.126212682228792,NA,NA,NA
"11",1,6,0.5,0.577350269189626,-0.0475764221157469,NA,NA,NA
"12",1,6,0.8,1.33333333333333,-0.254865131781706,NA,NA,NA
"13",2,1,0.5,0.577350269189626,0.292540036387732,NA,NA,NA
"14",2,1,0.8,1.33333333333333,0.422245171893,NA,NA,NA
"15",2,2,0.5,0.577350269189626,0.295555022357772,NA,NA,NA
"16",2,2,0.8,1.33333333333333,0.460062001868655,NA,NA,NA
"17",2,3,0.5,0.577350269189626,0.288200560724938,NA,NA,NA
"18",2,3,0.8,1.33333333333333,0.393086014906943,NA,NA,NA
"19",2,4,0.5,0.577350269189626,0.257489372611159,NA,NA,NA
"20",2,4,0.8,1.33333333333333,0.0997649424617986,NA,NA,NA
"21",2,5,0.5,0.577350269189626,0.265898556747487,NA,NA,NA
"22",2,5,0.8,1.33333333333333,0.274480574309958,NA,NA,NA
"23",2,6,0.5,0.577350269189626,0.235711560103949,NA,NA,NA
"24",2,6,0.8,1.33333333333333,0.0908539678902446,NA,NA,NA
"25",3,1,0.5,0.577350269189626,0.60552555435033,NA,NA,NA
"26",3,1,0.8,1.33333333333333,0.874000854513401,NA,NA,NA
"27",3,2,0.5,0.577350269189626,0.610953907408014,NA,NA,NA
"28",3,2,0.8,1.33333333333333,0.941795057677743,NA,NA,NA
"29",3,3,0.5,0.577350269189626,0.597353020638262,NA,NA,NA
"30",3,3,0.8,1.33333333333333,0.816860347607437,NA,NA,NA
